model,domain,perturbation,total_cases,no_claim_cases,no_claim_rate
internvl35_8b_hf,chart,blur_downscale,40,1,0.025
internvl35_8b_hf,chart,clean,40,0,0.0
internvl35_8b_hf,chart,crop_removal,40,0,0.0
internvl35_8b_hf,chart,distractor_text,40,0,0.0
internvl35_8b_hf,chart,jpeg_compression,40,0,0.0
internvl35_8b_hf,ocr_doc,blur_downscale,40,0,0.0
internvl35_8b_hf,ocr_doc,clean,40,0,0.0
internvl35_8b_hf,ocr_doc,crop_removal,40,0,0.0
internvl35_8b_hf,ocr_doc,distractor_text,40,0,0.0
internvl35_8b_hf,ocr_doc,jpeg_compression,40,0,0.0
internvl35_8b_hf,scientific_figure,blur_downscale,40,0,0.0
internvl35_8b_hf,scientific_figure,clean,40,0,0.0
internvl35_8b_hf,scientific_figure,crop_removal,40,0,0.0
internvl35_8b_hf,scientific_figure,distractor_text,40,0,0.0
internvl35_8b_hf,scientific_figure,jpeg_compression,40,0,0.0
qwen3_vl_4b,chart,blur_downscale,40,0,0.0
qwen3_vl_4b,chart,clean,40,0,0.0
qwen3_vl_4b,chart,crop_removal,40,0,0.0
qwen3_vl_4b,chart,distractor_text,40,0,0.0
qwen3_vl_4b,chart,jpeg_compression,40,0,0.0
qwen3_vl_4b,ocr_doc,blur_downscale,40,0,0.0
qwen3_vl_4b,ocr_doc,clean,40,0,0.0
qwen3_vl_4b,ocr_doc,crop_removal,40,0,0.0
qwen3_vl_4b,ocr_doc,distractor_text,40,0,0.0
qwen3_vl_4b,ocr_doc,jpeg_compression,40,0,0.0
qwen3_vl_4b,scientific_figure,blur_downscale,40,0,0.0
qwen3_vl_4b,scientific_figure,clean,40,0,0.0
qwen3_vl_4b,scientific_figure,crop_removal,40,0,0.0
qwen3_vl_4b,scientific_figure,distractor_text,40,0,0.0
qwen3_vl_4b,scientific_figure,jpeg_compression,40,0,0.0
qwen3_vl_8b,chart,blur_downscale,40,0,0.0
qwen3_vl_8b,chart,clean,40,0,0.0
qwen3_vl_8b,chart,crop_removal,40,0,0.0
qwen3_vl_8b,chart,distractor_text,40,0,0.0
qwen3_vl_8b,chart,jpeg_compression,40,0,0.0
qwen3_vl_8b,ocr_doc,blur_downscale,40,0,0.0
qwen3_vl_8b,ocr_doc,clean,40,0,0.0
qwen3_vl_8b,ocr_doc,crop_removal,40,0,0.0
qwen3_vl_8b,ocr_doc,distractor_text,40,0,0.0
qwen3_vl_8b,ocr_doc,jpeg_compression,40,0,0.0
qwen3_vl_8b,scientific_figure,blur_downscale,40,0,0.0
qwen3_vl_8b,scientific_figure,clean,40,0,0.0
qwen3_vl_8b,scientific_figure,crop_removal,40,0,0.0
qwen3_vl_8b,scientific_figure,distractor_text,40,0,0.0
qwen3_vl_8b,scientific_figure,jpeg_compression,40,0,0.0
