model,domain,perturbation,total_answers,correct_answers,answer_accuracy,total_claims,supported_claims,unsupported_claims,claim_faithfulness,hallucination_rate,perturbation_drop
internvl35_8b_hf,chart,clean,40,28,0.7000,40,40,0,1.0000,0.0000,0.0000
internvl35_8b_hf,chart,blur_downscale,40,4,0.1000,39,6,33,0.1538,0.8462,0.6000
internvl35_8b_hf,chart,crop_removal,40,21,0.5250,40,35,5,0.8750,0.1250,0.1750
internvl35_8b_hf,chart,jpeg_compression,40,1,0.0250,40,4,36,0.1000,0.9000,0.6750
internvl35_8b_hf,chart,distractor_text,40,26,0.6500,40,36,4,0.9000,0.1000,0.0500
internvl35_8b_hf,ocr_doc,clean,40,38,0.9500,40,40,0,1.0000,0.0000,0.0000
internvl35_8b_hf,ocr_doc,blur_downscale,40,9,0.2250,40,9,31,0.2250,0.7750,0.7250
internvl35_8b_hf,ocr_doc,crop_removal,40,25,0.6250,40,27,13,0.6750,0.3250,0.3250
internvl35_8b_hf,ocr_doc,jpeg_compression,40,1,0.0250,40,1,39,0.0250,0.9750,0.9250
internvl35_8b_hf,ocr_doc,distractor_text,40,33,0.8250,40,34,6,0.8500,0.1500,0.1250
internvl35_8b_hf,scientific_figure,clean,40,35,0.8750,40,40,0,1.0000,0.0000,0.0000
internvl35_8b_hf,scientific_figure,blur_downscale,40,0,0.0000,40,1,39,0.0250,0.9750,0.8750
internvl35_8b_hf,scientific_figure,crop_removal,40,24,0.6000,40,31,9,0.7750,0.2250,0.2750
internvl35_8b_hf,scientific_figure,jpeg_compression,40,3,0.0750,40,3,37,0.0750,0.9250,0.8000
internvl35_8b_hf,scientific_figure,distractor_text,40,35,0.8750,40,40,0,1.0000,0.0000,0.0000
qwen3_vl_4b,chart,clean,40,38,0.9500,40,39,1,0.9750,0.0250,0.0000
qwen3_vl_4b,chart,blur_downscale,40,4,0.1000,40,9,31,0.2250,0.7750,0.8500
qwen3_vl_4b,chart,crop_removal,40,26,0.6500,40,27,13,0.6750,0.3250,0.3000
qwen3_vl_4b,chart,jpeg_compression,40,0,0.0000,40,0,40,0.0000,1.0000,0.9500
qwen3_vl_4b,chart,distractor_text,40,35,0.8750,40,36,4,0.9000,0.1000,0.0750
qwen3_vl_4b,ocr_doc,clean,40,36,0.9000,40,36,4,0.9000,0.1000,0.0000
qwen3_vl_4b,ocr_doc,blur_downscale,40,12,0.3000,41,13,28,0.3171,0.6829,0.6000
qwen3_vl_4b,ocr_doc,crop_removal,40,23,0.5750,41,25,16,0.6098,0.3902,0.3250
qwen3_vl_4b,ocr_doc,jpeg_compression,40,0,0.0000,40,0,40,0.0000,1.0000,0.9000
qwen3_vl_4b,ocr_doc,distractor_text,40,27,0.6750,40,31,9,0.7750,0.2250,0.2250
qwen3_vl_4b,scientific_figure,clean,40,37,0.9250,40,40,0,1.0000,0.0000,0.0000
qwen3_vl_4b,scientific_figure,blur_downscale,40,0,0.0000,40,0,40,0.0000,1.0000,0.9250
qwen3_vl_4b,scientific_figure,crop_removal,40,27,0.6750,40,33,7,0.8250,0.1750,0.2500
qwen3_vl_4b,scientific_figure,jpeg_compression,40,0,0.0000,40,0,40,0.0000,1.0000,0.9250
qwen3_vl_4b,scientific_figure,distractor_text,40,37,0.9250,40,40,0,1.0000,0.0000,0.0000
qwen3_vl_8b,chart,clean,40,40,1.0000,40,40,0,1.0000,0.0000,0.0000
qwen3_vl_8b,chart,blur_downscale,40,5,0.1250,40,12,28,0.3000,0.7000,0.8750
qwen3_vl_8b,chart,crop_removal,40,33,0.8250,40,34,6,0.8500,0.1500,0.1750
qwen3_vl_8b,chart,jpeg_compression,40,0,0.0000,40,2,38,0.0500,0.9500,1.0000
qwen3_vl_8b,chart,distractor_text,40,37,0.9250,40,38,2,0.9500,0.0500,0.0750
qwen3_vl_8b,ocr_doc,clean,40,39,0.9750,40,40,0,1.0000,0.0000,0.0000
qwen3_vl_8b,ocr_doc,blur_downscale,40,9,0.2250,40,9,31,0.2250,0.7750,0.7500
qwen3_vl_8b,ocr_doc,crop_removal,40,23,0.5750,40,26,14,0.6500,0.3500,0.4000
qwen3_vl_8b,ocr_doc,jpeg_compression,40,0,0.0000,40,0,40,0.0000,1.0000,0.9750
qwen3_vl_8b,ocr_doc,distractor_text,40,34,0.8500,40,36,4,0.9000,0.1000,0.1250
qwen3_vl_8b,scientific_figure,clean,40,39,0.9750,40,39,1,0.9750,0.0250,0.0000
qwen3_vl_8b,scientific_figure,blur_downscale,40,4,0.1000,40,4,36,0.1000,0.9000,0.8750
qwen3_vl_8b,scientific_figure,crop_removal,40,26,0.6500,40,31,9,0.7750,0.2250,0.3250
qwen3_vl_8b,scientific_figure,jpeg_compression,40,0,0.0000,40,0,40,0.0000,1.0000,0.9750
qwen3_vl_8b,scientific_figure,distractor_text,40,38,0.9500,40,38,2,0.9500,0.0500,0.0250
